step,mode,loss,angle_error(rad),distance(m),x(m),y(m),the(rad),direction
1,training,0.009394397027791,0.09692469984293,0,1.50011970486883,0.700357172949832,0.002149994515696,
2,training,0.019579058513045,0.06474382057786,0,1.50635887520847,0.700376539415873,0.002269623545084,
3,training,0,0.049428354948759,0,1.54075234151983,0.700400011605429,-0.005153078578683,
4,training,0.015148825012148,0.05894217453897,0,1.58069583920557,0.699836112697275,-0.022550380414816,
5,training,0,0.023586369119585,0,1.62081543982517,0.698635229565651,-0.036899564523128,
6,training,0,0.024396545719355,0,1.66087579086537,0.696977525278033,-0.044966750815588,
7,training,0,0.029880098998547,0,1.70069832131086,0.695049946847053,-0.051724561955182,
8,training,0,0.039071772247553,0,1.74080010832302,0.692849987399717,-0.057926349754181,
9,training,0,0.036954272538424,0.035827819210683,1.78061026693299,0.690439712957065,-0.063839381236698,
10,training,0.009118026122451,0.050595944747329,0.035827819210683,1.82052921252127,0.687766148274949,-0.070075622506958,
11,training,0,0.026049073785544,0.035827819210683,1.86052559197677,0.684891318557635,-0.072612971590923,
12,training,0,0.033495059236884,0.035827819210683,1.9001753282918,0.68199114464967,-0.073331362324638,
13,training,0,0.035182176157832,0.035827819210683,1.94014710108075,0.679053748563037,-0.073759481125486,
14,training,0,0.038739088922739,0.035827819210683,1.97993584558,0.676136566081345,-0.073430009396965,
15,training,0.006258443929255,0.05587624385953,0.026928077064085,2.01975548062437,0.673189768803386,-0.074944970001294,
16,training,0,0.03738571330905,0.026928077064085,2.05974453381127,0.670169990914045,-0.075504228045865,
17,training,0,0.04396634362638,0.026928077064085,2.0994282509982,0.667177333241779,-0.075786241601961,
18,training,0.005506448447704,0.055466134101153,0.026928077064085,2.13934799312977,0.664148990956758,-0.075774826528581,
19,training,0.002884109970182,0.057341570034623,0.026928077064085,2.17923790654814,0.661153531067414,-0.074319733894102,
20,training,0,0.045609530061483,0.011841440165106,2.21894042137823,0.658212637256592,-0.073378121344763,
21,training,0,0.039001129567623,0.011841440165106,2.25893436156529,0.655327801725671,-0.070123894877915,
22,training,0.001187475863844,0.0728893680498,0.011841440165106,2.29864442657232,0.652634338051158,-0.066342857434017,
23,training,0,0.036185767501593,0.011841440165106,2.33852791907226,0.6500529785497,-0.062923783295646,
24,training,0,0.045949265360832,0.011841440165106,2.378504900938,0.647653217930403,-0.055762545010167,
25,training,0,0.048895901069045,0.011841440165106,2.4182148194448,0.645575026570017,-0.049462869014107,
26,training,0.003497961908579,0.061238311231136,0.012642934196511,2.45824365336323,0.643689994986019,-0.044774627607063,
27,training,0,0.026559181511402,0.012642934196511,2.49808858827753,0.642019714121756,-0.03948410107698,
28,training,0,0.029328249394894,0.012642934196511,2.53794450609029,0.640585882000028,-0.031938364141964,
29,training,0,0.031601153314114,0.012642934196511,2.57804785501894,0.639451527601917,-0.024274893593202,
30,training,0,0.021461894735694,0.012642934196511,2.61781329678524,0.638623455746287,-0.018174167668295,
31,training,0,0.018022267147899,0.012642934196511,2.65783802354107,0.637990440241478,-0.013685890810657,
32,training,0,0.014158580452204,0.009596248035882,2.69782943526984,0.637515858711452,-0.010107068951038,
33,training,0,0.013666324317455,0.009596248035882,2.73769692584984,0.637177214577985,-0.007252075472619,
34,training,0,0.009872259572148,0.009596248035882,2.7778277280209,0.636934955614774,-0.00460137489166,
35,training,0,0.041083745658398,0.009596248035882,2.81767468287775,0.636790581574866,-0.002750623067619,
36,training,0,0.04032257758081,0.009596248035882,2.85766698620235,0.636720654750551,-0.000952669501638,
37,training,0,0.04112658277154,0.009596248035882,2.89774738128239,0.636707301771145,0.000365197160219,
38,training,0,0.04190463386476,0.014141766852245,2.93758577202419,0.636758112637029,0.001843812613331,
39,training,0,0.04285335727036,0.014141766852245,2.97768934878044,0.636862926602026,0.003361882544718,
40,training,0,0.044046951457858,0.014141766852245,3.01760551009931,0.637022399746254,0.00486448232285,
41,training,0,0.04325407743454,0.014141766852245,3.05754284795571,0.637260150326324,0.006858923843547,
42,training,0,0.046078847721219,0.014141766852245,3.09767549908932,0.637568568773068,0.009080295778172,
43,training,0.001295330701396,0.058064308017492,0.001847157427182,3.13746635055609,0.637994506717959,0.012099343304678,
44,training,0,0.018892949447036,0.001847157427182,3.17750851028885,0.638552918043634,0.01601878470437,
45,training,0,0.026877591852099,0.001847157427182,3.21746942180974,0.639287380556743,0.021278190764959,
46,training,0,0.027435543015599,0.001847157427182,3.25731057996839,0.640262306659074,0.027534340361561,
47,training,0,0.040036410093308,0.001847157427182,3.29741571292692,0.641472915260107,0.033213452205956,
48,training,0,0.043833510950208,0.001847157427182,3.33719427536159,0.642908841552116,0.038900685264321,
49,training,0,0.0433021299541,0.012330768491103,3.37713357284173,0.644580655593628,0.044864542679801,
50,training,0.004905446432531,0.05975173227489,0.012330768491103,3.41714345226534,0.64649325994829,0.050905564784872,
51,training,0.002982564503327,0.057843998074532,0.012330768491103,3.45684314802553,0.648668635881051,0.058210811033937,
52,training,0,0.019142566248775,0.012330768491103,3.49685207588708,0.651106684055765,0.062514281667603,
53,training,0,0.024167718365789,0.012330768491103,3.53669548276165,0.653572004337755,0.059483549462147,
54,training,0,0.027463862672448,0.012330768491103,3.576603775459,0.655861404225493,0.05494060167363,
55,training,0,0.036417780444026,0.009992527135667,3.61672585018134,0.657980901724731,0.050608388609855,
56,training,0,0.032396545633674,0.009992527135667,3.65650108438615,0.659954247941171,0.048602842357125,
57,training,0,0.042155729606748,0.009992527135667,3.69652954757632,0.661889313362826,0.048051253856329,
58,training,0,0.042190236970782,0.009992527135667,3.73645351801195,0.663804148666184,0.047969853900628,
59,training,0,0.042994955554605,0.009992527135667,3.77631179950707,0.66573254125141,0.048441099854493,
60,training,0.001326951431111,0.056665444746614,0.009992527135667,3.81640751455598,0.667691943005536,0.049280475010402,
61,training,0,0.028534151613712,0.018938553591956,3.85615097279999,0.669663001243353,0.049204079974975,
62,training,0,0.033516202121973,0.018938553591956,3.89614316368084,0.671584931527281,0.045936676620122,
63,training,0.002247061114758,0.052914686501026,0.018938553591956,3.93620067160264,0.673360553387728,0.043023318157407,
64,training,0.004368043504655,0.053265230730176,0.018938553591956,3.97601568545187,0.675064475313495,0.042583709944781,
65,training,0.003429665695876,0.063167233020067,0.018938553591956,4.0160929824335,0.676796189100305,0.044293673513774,
66,training,0.003794319927692,0.075362300500274,0.018938553591956,4.05586462670108,0.678644770757612,0.049330732504815,
67,training,0,0.033697072416544,0.02495358627318,4.09574972409271,0.680707992261176,0.053402798969147,
