step,mode,loss,angle_error(rad),distance(m),x(m),y(m),the(rad)
1,training,0.10252327,0.29837907850742346,0.0,0.00010923596640054732,0.0003265734243974355,0.0019599560076429996
2,training,0.08959297,0.2744908332824707,0.0,0.008626053752705656,0.0003493127556421019,0.002100384393322605
3,training,0.07513947,0.24748776853084564,0.0,0.04484767255526738,0.000453470400499408,0.0059847740328980185
4,training,0.064462155,0.24614819139242167,0.0,0.0845726255847864,0.0009028060481046997,0.017955558163363375
5,training,0.050827216,0.1938789039850235,0.0,0.12449296294550474,0.001952216039279726,0.036030370776199534
6,training,0.042152148,0.2455847710371017,0.0,0.16432555601902657,0.0038030280603404023,0.058533019515482586
7,training,0.032467604,0.1750170886516571,0.0,0.20383258487567024,0.006729688808500367,0.09070370511950693
8,training,0.022300934,0.09617164731025696,0.01990603706016418,0.2432925638444593,0.011052934677856318,0.12818549244549743
9,training,0.013056295,0.02138572931289673,0.01990603706016418,0.2825674232881791,0.01694166760242051,0.170570769017149
10,training,0.006840671,0.061216190457344055,0.01990603706016418,0.32133780727067285,0.02463685146315742,0.22214887891000462
11,training,0.003851641,0.08044038712978363,0.01990603706016418,0.35956131866992114,0.03436558940330985,0.27695416674144324
12,training,0.0020899118,0.1771078705787659,0.01990603706016418,0.39735690714688693,0.04631226839146718,0.3380188860872705
13,training,0.0061630933,0.28256070613861084,0.005948299957572851,0.43391582762860353,0.0605031710312382,0.40487478657126
14,training,0.038818415,0.3706839829683304,0.005948299957572851,0.48691516165668686,0.08659781316926235,0.511534833028378
15,training,0.06074367,0.3051878362894058,0.005948299957572851,0.5204817067446673,0.10713502478152757,0.5892039324568314
16,training,0.036881365,0.2484215348958969,0.021956909325531928,0.552073812143773,0.13017050495064938,0.6693325639403068
17,training,0.019092876,0.23750310839386657,0.021956909325531928,0.5963845217311228,0.16924871400129127,0.7717085297041257
18,training,0.015436642,0.32624807953834534,0.0531633398212319,0.6106047502909903,0.18346484137922242,0.79627748861657
19,training,0.029925305,0.2557048797607422,0.0531633398212319,0.6506500198739351,0.22713032116076293,0.8587166717506811
