path_no,x(m),y(m)
0,3.734527372148584e-06,1.8346555870281398e-05
1,4.63738641153736e-06,2.0984842864687957e-05
2,5.5403554930473844e-06,2.3623395898478796e-05
3,6.443432752581239e-06,2.626221015257768e-05
4,7.346616802094731e-06,2.8901282050184393e-05
5,8.249906607264192e-06,3.154060893800276e-05
6,9.153301396517578e-06,3.418018884910542e-05
7,1.0056801221823737e-05,3.682002243203853e-05
8,1.0960405229297997e-05,3.946010756635346e-05
9,1.186411297812457e-05,4.210044309561212e-05
10,1.276792422518283e-05,4.474102843373496e-05
11,1.3671836421847404e-05,4.738185805119698e-05
12,1.4575834799903861e-05,5.002291123629263e-05
13,1.5479923569907718e-05,5.2664208007091494e-05
14,1.638410283097934e-05,5.530574874179355e-05
15,1.7288372521731196e-05,5.794753331876558e-05
16,1.8192732593363785e-05,6.0589561651960555e-05
17,1.909718300650582e-05,6.323183368210945e-05
18,2.0001723728776087e-05,6.587434936980209e-05
19,2.090635473298713e-05,6.851710869034541e-05
20,2.181107599593269e-05,7.116011163036081e-05
21,2.2715887497125678e-05,7.38033581842433e-05
22,2.362078921840094e-05,7.64468483529729e-05
23,2.452578114303834e-05,7.909058214164366e-05
24,2.543086321710967e-05,8.173455950550527e-05
25,2.633602596379802e-05,8.437876366608824e-05
26,2.7241270146151873e-05,8.702320625845354e-05
27,2.8146596465841722e-05,8.966788949410677e-05
28,2.905200491048511e-05,9.231281338870182e-05
29,2.995749546719044e-05,9.49579779562985e-05
30,3.086306812335755e-05,9.760338321190102e-05
31,3.1768722866502494e-05,0.00010024902917086755
32,3.267445968436946e-05,0.00010289491584927135
33,3.358027856468007e-05,0.0001055410432631466
34,3.448617949525657e-05,0.00010818741142881151
35,3.539216282698581e-05,0.00011083402133128983
36,3.629822909350516e-05,0.00011348087383487266
37,3.720437792712958e-05,0.00011612796773333029
38,3.8110609313616976e-05,0.00011877530303667404
39,3.901692324109231e-05,0.00012142287976227413
40,3.9923319697650166e-05,0.00012407069792736667
41,4.0829798671492695e-05,0.00012671875754950699
42,4.173636015068847e-05,0.00012936705864591793
43,4.26430041234379e-05,0.00013201560123417706
44,4.354973057789195e-05,0.00013466438533172619
45,4.445653950217558e-05,0.00013731341095594494
46,4.536343088445017e-05,0.00013996267812434827
47,4.627040471282158e-05,0.0001426121868542775
48,4.7177460975402624e-05,0.00014526193716310953
49,4.80845996604258e-05,0.00014791192906859495
50,4.8991820755931934e-05,0.0001505621625879069
51,4.98991242500451e-05,0.00015321263773851687
52,5.0806510130878106e-05,0.0001558633545378296
53,5.171397838652902e-05,0.00015851431300323095
54,5.262152900507855e-05,0.00016116551315208805
55,5.3529161974616955e-05,0.00016381695500175593
56,5.4436877283240565e-05,0.00016646863856966532
57,5.534467491902142e-05,0.0001691205638731988
58,5.6252554870085333e-05,0.00017177273092986893
59,5.716051712446532e-05,0.00017442513975696042
60,5.806856167024817e-05,0.00017707779037189343
61,5.897668864715891e-05,0.00017973068325875973
62,5.988489903211835e-05,0.00018238382162062653
63,6.079319196603764e-05,0.00018503720296903493
64,6.17015674141512e-05,0.00018769082725119578
65,6.261002545733096e-05,0.00019034469476461564
66,6.351856674052542e-05,0.00019299880745197342
67,6.442719035822369e-05,0.00019565316258385367
68,6.533589567287671e-05,0.00019830775840692878
69,6.624468329735015e-05,0.000200962596878602
70,6.71535532243174e-05,0.00020361767803076265
71,6.806250544168137e-05,0.00020627300188054475
72,6.897153993719058e-05,0.00020892856844465256
73,6.9880656698427e-05,0.00021158437773927027
74,7.078985571332044e-05,0.0002142404297816826
75,7.169913727990852e-05,0.00021689672555112277
76,7.26085017552459e-05,0.00021955326631318097
77,7.351794865213639e-05,0.00022221005065651273
78,7.442747795532133e-05,0.00022486707858851359
79,7.533708965290573e-05,0.00022752435012695239
80,7.624678373288792e-05,0.0002301818652892955
81,7.715655647247237e-05,0.00023283961894227513
82,7.806640288677072e-05,0.0002354976110742531
83,7.897632405781327e-05,0.00023815584575722723
84,7.988631997794989e-05,0.00024081432302015444
85,8.07963906352396e-05,0.00024347304287872896
86,8.170653601775619e-05,0.00024613200534872464
87,8.26167561136671e-05,0.000248791210446162
88,8.352705091116408e-05,0.00025145065818716125
89,8.443742039846054e-05,0.00025411034858786717
90,8.534786457315129e-05,0.0002567702816926035
91,8.625838342751942e-05,0.00025943045752799525
92,8.716897694225484e-05,0.00026209087608701254
93,8.807964510560828e-05,0.0002647515373859912
94,0.003185037904276663,0.00027287224102277277
95,0.014958432961830106,0.00029422963808340444
96,0.03398121614220892,0.0003239660942925744
97,0.0553093626283955,0.00038919718734166316
98,0.078520441046196,0.0007635287012844642
99,0.10224936630376046,0.001757119485542876
100,0.12782779992869178,0.0035002801363578457
101,0.15343332442555435,0.006033010902874238
102,0.17909751011861721,0.00938991748920699
103,0.20339006825637787,0.013437967098077807
104,0.22803591569282444,0.018394466127293965
105,0.25317567817407644,0.024134979087610406
106,0.2782142804479681,0.030524175271143407
107,0.3028874155833881,0.0376044542328291
108,0.32737687399585425,0.04535433397294834
109,0.3518565590752443,0.053644817524021934
110,0.3763459669489208,0.0623547670191915
111,0.4006531325505449,0.07135347040252336
112,0.4246697113442314,0.08066532738535921
113,0.44865023833131384,0.0903947967655905
114,0.47263467741738574,0.10045800562664034
115,0.496438360534832,0.11072067692194508
116,0.520011638834131,0.12121366933341318
117,0.5435287525332867,0.1320562744871964
118,0.5670538694887791,0.14315051974746212
119,0.5904982150948164,0.1543079990410412
120,0.6138131134218408,0.16548790553085813
121,0.6355447715208723,0.17596329390298818
122,0.6579685957525858,0.18690206372281915
123,0.6812251884683816,0.19824144600427762
124,0.7044992924073519,0.20963347875763813
125,0.7278178235412046,0.22107354344019234
126,0.7512045243534488,0.23252704443435457
127,0.7745162109840511,0.24390135540009591
128,0.7976696133307392,0.25521069836458904
129,0.8210555003809784,0.2665591561062308
130,0.8445333811318236,0.27787638365641365
131,0.8679737100535307,0.2890642267995231
132,0.8913508611585284,0.30017058949128933
133,0.9148337835765773,0.31128279841834106
134,0.9383976177994383,0.32241306561412314
135,0.9619808496659187,0.33342616022561505
136,0.9855307043202414,0.34426568033484756
137,1.0081480304265582,0.3545351590226216
138,1.0310508467152977,0.36483477627583316
139,1.0549065920742158,0.3753820648699477
140,1.0787442984088953,0.38568047367901453
141,1.1016116933559734,0.39538807618544075
142,1.1247844477123314,0.40513598628268166
143,1.1489095921532406,0.41514145176503886
144,1.1729552269525285,0.42487589443636914
145,1.1960378407840964,0.43402809612121246
146,1.217958644810857,0.4425586774636776
147,1.2407809887098096,0.4512172313064793
148,1.2640510044247284,0.45979031877186144
149,1.2885161145509696,0.46854340719642534
150,1.3132001446759458,0.4770938837110977
151,1.3380404779606971,0.4853884270008519
152,1.3627734010856043,0.49331421999159997
153,1.3876745698176187,0.5009534405148297
154,1.4117901643733062,0.5080341210494153
155,1.4356334051215098,0.5148712107022081
156,1.4600764726758493,0.521822081788002
157,1.4851679744439918,0.5287007857606788
158,1.5104472837526723,0.5353241315722401
159,1.535779270959714,0.5416457969441472
160,1.5610979632906625,0.5476592447363554
161,1.5865064523292554,0.5533583793970406
162,1.6120787913513281,0.558762680027749
163,1.6376533000297946,0.5638523015704688
164,1.6632665606316421,0.5686758543811392
165,1.6888915934101227,0.5732426411358819
166,1.7146436745584588,0.5775541970639484
167,1.7403534244352374,0.5816014315805287
168,1.766152742660379,0.5854262683513446
169,1.791953277016917,0.5890042797561345
170,1.8178177130233162,0.5923313198326341
171,1.8436219724349063,0.595435245634075
172,1.869543904856129,0.5983591255699618
173,1.8954581908950183,0.6010714808993707
174,1.9213594459295502,0.6035652723790046
175,1.947239724434949,0.605873000439678
176,1.9732325003238873,0.6080183554768497
177,1.9992377550568823,0.610008530696705
178,2.0251462224638224,0.6118111635706122
179,2.051081518141047,0.6134590957904064
180,2.077119326222619,0.6149680207098228
181,2.1031787702291247,0.6163415726695669
182,2.129086334669053,0.6175734666522583
183,2.15503927517542,0.6186997432580622
184,2.181094082848679,0.6197178325280673
185,2.2071779487502927,0.6206302010128913
186,2.2331356671571188,0.6214736299720008
187,2.2590610008039795,0.6223550155963786
188,2.2850833775974047,0.623282104463687
189,2.3111231296862114,0.6242302893601367
190,2.3363330434927,0.6251179753556539
191,2.3618783294304158,0.6259990533045884
192,2.3868691911081203,0.6268709746128409
193,2.412478204299854,0.6277538337570898
194,2.437683844244389,0.6285901030515791
195,2.4631727229701674,0.6294258005260609
196,2.488165348715892,0.6302561050454424
197,2.51386892033311,0.6310987411115143
198,2.5390732372031293,0.6318954337258675
199,2.5645479632777604,0.6326982437736182
200,2.589523913154461,0.6335388620256971
201,2.615209522914106,0.6344491759463508
202,2.6402883982806804,0.6353610916646653
203,2.663940223511476,0.6362223790438437
204,2.684071043338574,0.63696129223797
205,2.6955265047024706,0.6374298417133951
206,2.699286480903119,0.63763215808679
207,2.699496565998768,0.6376472211627
208,2.699552470535833,0.6376528482706466
209,2.699606649194601,0.6376584361144954
210,2.699659699610227,0.6376639941445693
211,2.699712067907626,0.6376695344754928
212,2.699763580206889,0.6376750634833948
213,2.6998151991829493,0.6376806466939782
214,2.702497501748838,0.6378529710629008
215,2.7119284598051574,0.6383609534194822
216,2.7255421409694445,0.6387224372263616
217,2.742291437118183,0.638597029491407
218,2.765557735250444,0.6382056217366966
219,2.7916315836560024,0.6377242631232276
220,2.817603337160472,0.6371984976567159
221,2.8435189532501046,0.6366575945220436
222,2.8694750799480295,0.6362113535860137
223,2.895519803045611,0.6358722116355326
224,2.9214884900892226,0.635646626956595
225,2.9473922330586126,0.6354987216686618
226,2.973346023262783,0.6354611460900447
227,2.999382627456562,0.6355536800228894
228,3.0253445012136884,0.6357526327939224
229,3.0512604591719836,0.636025072832854
230,3.077222967969012,0.6363919933646368
231,3.1032610543672665,0.6368523224333786
232,3.1292577268284427,0.6373782398421574
233,3.1551451708592806,0.6379481164925102
234,3.181114752446422,0.6385687344404417
235,3.2071593459904117,0.6392157084726411
236,3.2331561536992415,0.6398588303042401
237,3.2590491873630136,0.6405016282172572
238,3.2850279018855266,0.6411531778897349
239,3.311078006225926,0.6418114678153515
240,3.3370771971265665,0.6424515222459473
241,3.3629762447549627,0.643083055865745
242,3.3889572071266194,0.6437215416397889
243,3.4150086199925482,0.6443641119196792
244,3.441008121386554,0.6449866713254775
245,3.466907871522661,0.6455988588123805
246,3.4928913712318024,0.6462161790587623
247,3.5189444353267993,0.6468352235973143
248,3.54494438751236,0.6474325375738303
249,3.5708340164073755,0.6480088034658915
250,3.5968233008111823,0.6485686821491151
251,3.622877855615427,0.6491295664000103
252,3.648878947176533,0.6496743964779167
253,3.6747735622477946,0.650199636769448
254,3.7007648700009645,0.6507122854175991
255,3.7268301697875286,0.6512141553760363
256,3.75283181355874,0.6516757530055769
257,3.778729772502561,0.6521188985707546
258,3.80472366897788,0.6525534830700676
259,3.830790290601987,0.6529782440483138
260,3.8567920029441924,0.6533682747936231
261,3.882688371079063,0.6537386541869117
262,3.9086851491892096,0.6540990885980028
263,3.9347551960044416,0.654447884770504
264,3.9607563196076168,0.6547613533721671
265,3.9866535990169885,0.6550537794036545
266,4.01265291300953,0.6553351414789936
267,4.038726201756638,0.6556034823887704
268,4.064725829450922,0.6558368305226238
269,4.090625012387955,0.6560522891544237
270,4.11662728459197,0.6562629623914286
271,4.142699921469118,0.6564591186178668
272,4.168690428212463,0.6566388677973619
273,4.194578924860117,0.6568172929049532
274,4.220578936378979,0.6569976883736844
275,4.246652102127217,0.6571765408196677
276,4.272644174463839,0.6573332691377439
277,4.298540374218532,0.6574776412343335
278,4.32454409091994,0.6576184645251875
279,4.350620276272199,0.6577498768345762
280,4.376612067629363,0.6578542614934715
281,4.40251465189775,0.6579388111014953
282,4.4285221764815255,0.6580134870724336
283,4.454594456361659,0.6580788815464855
284,4.480577288629226,0.658142696632231
285,4.506486583650735,0.6582054826030094
286,4.5324907698876835,0.6582758511530832
287,4.558565275690511,0.6583470523631764
288,4.584548630917097,0.6584033882233971
289,4.6104554655359,0.6584519747426402
290,4.636464264750525,0.6585001172998717
291,4.662540794904401,0.658538562156876
292,4.688517676928011,0.6585671194764654
293,4.7144335778907145,0.658591371800507
294,4.740444846072389,0.6586127148303902
295,4.766523537471206,0.6586185167273821
296,4.792499081487094,0.658612506817617
297,4.818421293096224,0.6586023342882011
298,4.844433773836756,0.658589768326963
299,4.870512482740253,0.6585641940449957
300,4.896488283344945,0.658528111770412
301,4.922411688135322,0.6584878562317635
302,4.948421646611444,0.6584526871102865
303,4.9744991431797025,0.658414577238157
304,5.000470460668905,0.6583623663623057
305,5.026397239915069,0.6582971740197919
306,5.052408571882886,0.6582366913961056
307,5.07847258928023,0.6581762824182446
